greenwich_date,jd_ephem,observer,clamp,limb,ra_h,ra_m,ra_s,ra_o_minus_c,ra_limb_corr,limb_side,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,dec_limb_corr
1968 May. 8.05,39984.55362,To,E,1,11,12,42.726,+1.341,-.001,N,+,8,7,55.53,-9.84,-0.19
1968 May. 9.08,39985.58653,Cr,E,1,12,4,10.336,+1.310,-.009,N,+,1,18,46.55,-11.10,-1.16
1968 May. 13.23,39989.73774,To,E,2,15,58,17.756,+1.749,-.013,S,-,24,11,58.26,7.94,-0.42
1968 May. 17.41,39993.91477,Rh,E,2,20,29,40.881,+1.549,-.033,N,-,24,8,59.35,+6.65,+0.17
1968 Jun. 6.02,40013.52995,Ga,W,1,12,32,52.575,+1.377,+.001,,+,2,44,,,
1968 Jun. 7.06,40014.56372,KI,W,1,13,25,34.561,+1.378,-.018,N,,,,,-10.31,+0.14
1968 Jun. 15.39,40022.89708,Du,W,2,21,58,28.211,+1.381,-.059,N,-,16,30,40.70,+8.51,+0.18
1968 Jun. 16.42,40023.92968,Gv,,2,22,49,28.936,+1.189,-.031,N,-,10,44,09.76,+7.93,-0.16
1968 Jul. 6.04,40043.54695,Cr,E,1,14,55,41.895,+1.563,+.023,N,-,19,36,03.55,-6.53,+0.96
1968 Jul. 7.08,40044.58764,4004458764 G E1,E,1,15,58,23.860,+1.707,+.056,N,-,24,20,12.37,-4.38,+0.95
1968 Jul. 8.13,40045.63177,Rh,E,1,17,6,04.356,+1.797,-.133,,-,27,23,,,
1968 Jul. 13.33,40050.83991,KI,E,2,22,26,19.010,+1.292,-.040,N,-,13,14,26.72,+8.56,-0.07
1968 Jul. 15.40,40052.90161,Du,E,2,0,3,16.997,+1.168,-.014,N,-,0,51,26.72,+8.97,+0.06
1968 Aug. 7.17,40075.67147,Hа,E,1,20,1,39.680,+1.667,-.067,S,-,25,29,20.21,+5.73,+1.54
1968 Aug. 8.21,40076.71173,MB,E,1,21,3,44.171,+1.616,-.010,,-,21,19,49.83,+8.12,+0.82
1968 Aug. 9.24,40077.74840,To,E,2,22,0,38.163,+1.376,-.041,,-,15,58,,,
1968 Aug. 12.34,40080.84258,Gv,E,2,0,28,27.090,+1.172,-.020,N,+,2,46,18.08,9.21,+0.17
1968 Aug. 13.37,40081.87162,To ToE2,E,2,1,14,19.489,+1.180,-.022,N,+,8,48,38.41,+9.27,+0.61
1968 Sep. 7.22,40106.72430,Du,W,2,23,20,09.611,+1.194,-.021,,-,6,21,46.71,+8.88,+0.62
1968 Sep. 8.25,40107.75445,To,,2,0,7,38.172,+1.209,-.016,N,,,,,+9.58,+0.08
1968 Sep. 9.28,40108.78381,Gv,W,2,0,53,58.943,+1.198,-.007,N,+,6,17,42.86,+9.06,+0.42
1968 Sep. 12.37,40111.87456,KI,W,2,3,16,50.262,+1.307,+.031,N,+,21,53,16.66,+5.75,-0.49
1968 Sep. 13.40,40112.90745,To,W,2,4,8,17.035,+1.381,-.037,N,+,25,21,45.64,+3.64,-0.46
1968 Sep. 14.44,40113.94198,Gv,W,2,5,2,04.469,+1.387,-.066,N,+,27,39,40.41,+2.17,-0.02
1968 Sep. 29.99,40129.49312,Rh,E,1,19,17,02.756,+1.763,-.016,S,-,27,32,58.14,+3.94,+1.76
1968 Sep. 1.03,40130.53384,K1,E,1,20,19,46.910,+1.630,-.010,S,-,24,36,27.45,6.50,+1.26
1968 Sep. 2.07,40131.57139,To,E,1,21,17,56.452,+1.527,-.013,S,-,20,13,19.37,8.15,+0.55
1968 Oct. 3.10,40132.60582,Gv,E,1,22,11,35.472,+1.282,-.010,S,-,14,49,14.95,+8.35,+0.36
1968 Oct. 5.16,40134.66787,Cr,E,,23,49,04.358,+1.187,-.012,S,-,2,29,46.25,+10.44,+0.42
1968 Oct. 31.05,40160.55333,Gv,W,,22,46,11.510,+1.256,-.027,S,-,10,41,22.82,+8.66,+0.21
1968 Nov. 1.08,40161.58351,Gv,W,1,23,33,42.609,+1.205,-.028,,-,4,32,11.16,+9.94,+0.37
1968 Nov. 2.11,40162.61253,,W,,0,19,33.228,+1.154,-.011,,+,1,41,15.71,+9.89,+0.45
1968 Nov. 3.14,40163.64124,To,W,1,1,4,57.556,+1.202,-.006,S,,,,,+8.90,+0.76
1968 Nov. 9.33,40169.83638,Du,W,2,6,10,22.895,+1.437,-.014,,+,28,33,,,
1968 Nov. 25.93,40186.43475,Du,W,1,21,37,28.721,+1.475,-.034,S,-,18,8,51.36,+8.26,+0.63
1968 Nov. 26.96,40187.46855,K1,W,1,22,30,13.741,+1.322,-.025,,,,,,7.62,-0.01
1968 Dec. 6.24,40196.74967,Gv,W,2,5,51,38.345,+1.370,-.018,N,+,28,23,33.58,-0.83,-0.08
1968 Dec. 9.35,40199.85471,To,W,2,8,35,08.056,+1.305,+.008,S,+,23,14,07.99,-6.07,-0.17
