greenwich_date,jd_ephem,observer,clamp,limb,ra_h,ra_m,ra_s,ra_o_minus_c,ra_limb_corr,limb_side,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,dec_limb_corr
1965 Nov. 10.24,39074.74139,Du,E,2,3,56,04.438,+1.430,-.015,N,+,20,3,30.21,+5.16,+0.10
1965 Nov. 15.44,39079.94805,Gv,E,2,9,14,12.131,+1.521,+.031,S,+,21,12,22.52,-6.53,-0.78
1965 Nov. 29.93,39094.43345,Rh,E,1,21,50,16.447,+1.205,-.018,S,-,18,35,50.52,+5.81,+0.68
1965 Dec. 1.99,39096.49300,Gv,E,1,23,24,09.251,+1.115,-.006,,,,,,+7.54,+0.23
1965 Dec. 6.11,39100.61361,To,,,2,34,04.522,+1.199,-.062,,+,12,48,22.77,+7.26,+0.59
1965 Dec. 8.18,39102.68709,Gv,E,1,4,28,03.727,+1.513,-.016,,+,22,8,,,
1965 Dec. 29.93,39124.43496,Du,W,1,23,50,43.881,+1.083,-.009,S,+,6,17,01.83,+8.58,+0.21
1965 Dec. 30.96,39125.46328,K1,W,1,0,35,34.194,+1.028,+.014,S,-,0,52,07.04,6.43,+0.56
1966 Jan. 4.09,39129.59152,KI,=,,,,,,,S,+,20,8,42.28,+5.18,+1.11
1966 Jan. 7.21,39132.71960,Rh,W,2,7,13,17.393,+1.704,-.050,N,+,25,52,57.62,-2.49,+0.20
1966 Jan. 9.30,39134.80757,Gv,W,2,9,28,11.859,+1.584,+.004,S,+,20,8,15.45,-8.41,-0.72
1966 Jan. 12.41,39137.91866,KI,,,12,20,25.501,+1.244,+.089,,+,2,37,49.77,-10.43,+1.21
1966 Jan. 15.51,39141.01680,Du,,,14,14,53,,,S,-,14,57,25.63,-7.92,+0.27
1966 Mar. 2.02,39186.52460,Du,E,1,6,4,37.262,+1.492,-.063,N,+,26,7,49.18,+1.74,-0.15
1966 Mar. 3.06,39187.56750,Gv,E,1,7,10,30.559,+1.623,+.030,,+,26,10,,,
1966 Mar. 4.11,39188.61111,Rh,E,1,8,17,25.369,+1.631,-.014,N,+,24,16,12.40,-4.62,+0.15
1966 Mar. 7.23,39191.73288,KI,E,2,11,25,04.686,+1.483,+.045,N,+,8,53,26.75,9.25,-0.45
1966 Mar. 8.26,39192.76942,Du,E,2,12,21,46.344,+1.404,+.082,S,+,2,4,10.18,-10.79,+1.48
1966 Mar. 9.30,39193.80477,Gv,E,2,13,16,45.706,+1.330,+.052,S,+,4,43,57.75,-9.26,+2.27
1966 Mar. 11.37,39195.87483,Rh,E,2,15,5,48.313,+1.369,+.033,,-,16,36,,,
1966 Mar. 29.97,39214.47673,Du,E,1,6,45,53.628,+1.563,-.089,,+,26,36,,,
1966 Apr. 1.06,39216.56031,To,,1,8,54,27.440,+1.573,+.063,N,+,22,33,19.90,-5.76,-0.59
1966 Apr. 3.13,39218.63869,Gv,E,1,10,55,31.476,+1.429,-.026,N,+,12,15,23.91,-9.80,-0.74
1966 Apr. 10.39,39225.89306,Gv,E,2,17,30,25.040,+1.449,+.019,,-,25,40,,,
1966 Apr. 11.43,39226.93072,KI,E,2,18,28,44.135,+1.423,-.001,,-,26,40,,,
1966 May. 29.03,39274.53348,Rh,E,1,12,4,23.128,+1.336,+005,N,+,4,17,31.47,-10.11,-0.78
1966 Jun. 1.13,39277.63483,KI,E,1,14,42,33.515,+1.361,+.060,N,-,14,33,48.22,-7.17,+0.02
1966 Jun. 3.20,39279.70793,,E,1,16,35,59.515,+1.521,+.025,S,-,23,27,36.25,-4.92,-0.58
1966 Jun. 5.28,39281.78493,Sv,E,2,18,35,04.290,+1.492,-.029,S,-,26,45,32.69,1.84,+0.92
1966 Jun. 6.32,39282.82261,Gv,E,2,19,33,24.687,+1.443,+.028,N,-,26,5,46.02,2.36,+0.56
1966 Jun. 28.04,39304.54865,Rh,E,1,14,24,34.151,+1.320,+.012,N,-,12,46,22.63,8.18,-0.07
1966 Jun. 30.11,39306.61924,Rh,E,1,16,14,23.492,+1.478,+088,N,-,22,13,32.57,-3.97,+0.56
1966 Jul. 1.15,39307.65667,He,E,1,17,12,22.685,+1.482,+.070,,-,25,8,,,
1966 Jul. 3.23,39309.73277,Du,E,2,19,10,08.582,+1.483,-019,,-,26,29,23.42,+0.08,+1.30
1966 Jul. 4.26,39310.76936,To,,2,20,6,54.801,+1.386,+.003,,-,24,57,29.44,+2.82,+1.20
1966 Aug. 1.21,39338.71696,Gv,W,1,20,41,38.680,+1.354,-.029,,-,23,16,,,
1966 Aug. 2.24,39339.74989,Lz,W,2,,,,+1.198,-.005,,-,19,48,,,
1966 Aug. 4.30,39341.80984,He,W,2,23,7,35.467,+1.085,-.003,,-,10,38,,,
1966 Aug. 23.98,39361.48394,La,E,1,16,35,51.820,+1.545,+.051,,-,23,51,,,
1966 Aug. 25.02,39362.52145,KI,E,1,17,33,58.374,+1.525,+.029,,-,26,9,,,
1966 Aug. 26.05,39363.55909,Ga,E,1,18,32,15.868,+1.457,+.008,S,-,26,56,49.32,-0.70,+1.44
1966 Aug. 27.09,39364.59599,He,E,1,19,29,28.759,+1.398,.000,S,-,26,16,03.00,+2.14,+0.71
1966 Aug. 28.13,39365.63135,Rh,E,1,20,24,28.814,+1.293,-.039,S,-,24,14,35.44,+3.91,+1.19
1966 Aug. 29.16,39366.66472,To,E,1,21,16,36.361,+1.225,-.019,S,-,21,4,39.68,+5.71,+0.43
1966 Aug. 30.19,39367.69603,He,E,1,22,5,46.044,+1.224,-.017,S,-,17,0,25.19,+7.26,+0.50
1966 Sep. 1.25,39369.75377,Gv,E,2,23,37,00.720,+1.051,-.007,,,,,,,
1966 Sep. 2.28,39370.78125,He HeE2,,2,0,20,38.031,+1.050,+.051,N,-,1,36,56.26,7.25,-0.03
1966 Sep. 3.30,39371.80866,To,E,2,1,4,09.251,+1.074,+.111,,+,3,54,,,
