greenwich_date,jd_ephem,observer,clamp,ra_h,ra_m,ra_s,ra_o_minus_c,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,distance_au
1967 Jul. 30.71,39733.21455,Gv,W,10,33,30.901,+0.065,,,,,+0.03,1.009593
1967 Aug. 31.71,39734.21434,To,W,10,37,09.111,+0.094,+,8,43,13.44,-0.83,1.009364
1967 Sep. 1.71,39735.21413,Cr,W,0,10,40,,+,8,21,34.15,+0.22,1.009131
1967 Sep. 5.71,39739.21323,Cr,W,10,55,15.664,+0.089,+,6,53,34.95,+0.07,1.008158
1967 Sep. 6.71,39740.21300,To,W,10,58,52.176,+0.064,+,6,31,16.37,-1.06,1.007905
1967 Sep. 15.71,39749.21083,Cr,W,11,31,13.100,+0.143,,,,,-1.01,1.005503
1967 Sep. 18.71,39752.21009,Ga,W,11,41,58.297,+0.096,+,1,57,07.12,-0.26,1.004681
1967 Sep. 20.70,39754.20959,KI,W,11,49,08.504,+0.088,+,1,10,36.16,-0.55,1.004131
1967 Sep. 22.70,39756.20910,To,W,11,56,18.965,+0.058,+,0,23,57.74,-0.94,1.003581
1967 Nov. 6.70,39801.20272,Rn,W,14,44,31.322,+0.096,-,15,55,17.65,+0.69,0.991151
1967 Nov. 8.70,39803.20279,To,W,14,52,30.826,+0.089,-,16,30,50.17,+1.07,0.990651
1967 Nov. 10.70,39805.20291,Rh,W,15,0,33.646,+0.114,-,17,5,15.69,+1.13,0.990163
1967 Nov. 13.70,39808.20314,KI,W,15,12,44.098,+0.131,-,17,54,43.11,-0.73,0.989455
1967 Nov. 14.70,39809.20324,Rh,W,15,16,49.228,+0.104,-,18,10,34.30,-0.38,0.989228
1967 Nov. 15.70,39810.20335,Du,W,15,20,55.201,+0.072,-,18,26,06.37,-0.02,0.989004
1967 Nov. 16.70,39811.20347,To,W,15,25,02.127,+0.148,-,18,41,18.39,+0.91,0.988785
1967 Nov. 20.70,39815.20404,Du,W,15,41,37.806,+0.022,-,19,38,47.99,+1.43,0.987954
1967 Nov. 25.70,39820.20497,Rh,W,16,2,41.255,+0.184,-,20,42,39.71,+0.95,0.987018
1967 Nov. 26.70,39821.20519,Rh,W,16,6,56.258,+0.149,-,20,54,17.32,+1.84,0.986843
1967 Dec. 8.70,39833.20836,To,E,16,58,49.962,+0.065,-,22,42,04.38,-0.45,0.984976
1967 Dec. 13.70,39838.20994,To,E,17,20,49.623,+0.112,-,23,8,,,0.984365
1967 Dec. 15.71,39840.21060,To,E,17,29,39.903,+0.102,-,23,15,42.42,+1.71,0.984160
1967 Dec. 17.71,39842.21127,Rh,E,17,38,31.304,+0.167,-,23,21,12.14,+0.68,0.983978
1967 Dec. 19.71,39844.21195,KI,E,17,47,23.367,+0.096,-,23,24,50.98,-1.41,0.983821
1967 Dec. 20.71,39845.21230,Du,E,17,51,49.719,+0.150,-,23,25,54.56,+1.14,0.983752
1967 Dec. 26.71,39851.21437,To,E,18,18,28.676,+0.150,-,23,22,40.12,-0.42,0.983453
1967 Dec. 27.71,39852.21472,Rh,E,18,22,55.019,+0.101,-,23,20,27.15,+0.95,0.983420
1967 Dec. 29.71,39854.21540,To,E,18,31,47.374,+0.080,-,23,14,39.89,+0.48,0.983367
1968 Jan. 11.71,39867.21947,To,E,0,19,28,,-,21,52,22.18,+0.04,0.983414
1968 Jan. 17.72,39873.22100,KI,E,19,54,47.292,+0.121,-,20,49,38.82,+0.71,0.983744
1968 Jan. 18.72,39874.22123,Cr,E,19,59,03.584,+0.129,-,20,37,45.61,+1.84,0.983821
1968 Jan. 19.72,39875.22145,To,E,20,3,19.135,+0.097,-,20,25,30.79,+1.25,0.983905
1968 Jan. 20.72,39876.22166,Rh,E,20,7,34.003,+0.108,-,20,12,52.66,+0.75,0.983993
