greenwich_date,jd_ephem,observer,clamp,ra_h,ra_m,ra_s,ra_o_minus_c,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,distance_au
1963 Mar. 8.72,38097.22167,Pe,W,23,13,42.712,+0.035,-,4,58,15.20,+1.78,0.992665
1963 Mar. 15.72,38104.22038,Pe,W,23,39,26.822,+0.007,-,2,13,24.68,+1.16,0.994552
1963 Mar. 18.71,38107.21979,Rh,W,23,50,24.774,-0.005,-,1,2,20.26,-0.63,0.995397
1963 Mar. 25.71,38114.21834,Pe,W,0,15,55.334,+0.025,+,1,43,26.12,-0.23,0.997398
1963 Mar. 27.71,38116.21792,Rh,W,0,23,12.072,+0.055,,,,,-0.32,0.997965
1963 Mar. 28.71,38117.21771,KI,,0,26,50.400,+0.041,+,2,54,,,0.998247
1963 Mar. 29.71,38118.21750,Pe,W,0,30,28.775,+0.051,+,3,17,26.68,+0.35,0.998529
1963 Apr. 4.71,38124.21625,Sc,W,0,52,20.144,+0.021,+,5,36,23.57,+0.08,1.000220
1963 Apr. 6.71,38126.21585,Sc,W,0,59,38.221,+0.011,+,6,21,58.90,+0.47,1.000787
1963 Apr. 8.71,38128.21546,Rh,W,1,6,57.009,-0.050,+,7,7,07.94,+1.13,1.001358
1963 Apr. 10.71,38130.21507,Sc,W,1,14,16.915,+0.078,+,7,51,46.10,-0.04,1.001931
1963 Apr. 11.71,38131.21488,KI,W,1,17,57.074,-0.053,+,8,13,53.50,-0.59,1.002219
1963 Apr. 12.71,38132.21470,Pe,W,1,21,37.729,+0.014,+,8,35,53.87,+0.03,1.002507
1963 Apr. 14.71,38134.21434,Sc,W,1,28,59.840,-0.017,,,,,+0.12,1.003083
1963 Apr. 15.71,38135.21417,KI,W,1,32,41.482,+0.046,+,9,41,,,1.003370
1963 Apr. 16.71,38136.21400,Rh,W,1,36,23.386,-0.003,+,10,2,24.51,+0.40,1.003657
1963 Apr. 20.71,38140.21337,Sc,W,1,51,15.236,+0.085,+,11,26,16.77,-0.05,1.004791
1963 Apr. 31.71,38181.21236,,W,4,31,26.003,+0.034,+,21,52,,,1.013968
1963 Jun. 4.71,38185.21279,Rh,,,,,,,,,,+0.18,1.014542
1963 Jun. 5.71,38186.21290,Ka,W,4,51,56.199,-0.010,+,22,31,16.95,+0.37,1.014678
1963 Jun. 6.71,38187.21303,Sc,W,4,56,03.340,+0.038,+,22,37,45.07,-0.57,1.014810
1963 Jun. 7.71,38188.21315,Pe,W,5,0,10.691,-0.013,+,22,43,50.75,-0.26,1.014939
1963 Jul. 3.71,38214.21688,Rh,W,0,6,48,,+,22,58,58.27,-0.88,1.016714
1963 Jul. 4.71,38215.21701,Ga,,0,6,52,,,,,,-0.42,1.016715
1963 Jul. 5.71,38216.21713,To,W,6,56,19.028,+0.003,+,22,48,42.72,+0.21,1.016713
1963 Jul. 6.71,38217.21725,Sc,W,0,7,00,,+,22,42,58.04,-0.42,1.016707
1963 Jul. 8.71,38219.21747,Ка,W,7,8,38.447,+0.049,+,22,30,,,1.016685
1963 Jul. 9.71,38220.21758,KI,W,7,12,44.085,-0.013,+,22,23,24.92,-0.23,1.016669
1963 Jul. 11.71,38222.21778,Ga,W,7,20,54.272,-0.025,+,22,8,25.74,-1.10,1.016625
1963 Jul. 12.71,38223.21787,Sc,W,7,24,58.797,+0.036,+,22,0,22.63,-0.76,1.016598
1963 Jul. 23.71,38234.21850,Ga,E,8,9,15.949,-0.021,+,20,7,34.29,-0.23,1.015948
1963 Jul. 30.71,38241.21849,Ka,,0,8,36,,+,18,34,16.71,-0.60,1.015183
1963 Jul. 1.71,38243.21843,Ga,E,8,44,38.271,-0.055,+,18,4,,,1.014926
1963 Jul. 2.71,38244.21838,KI,E,8,48,31.057,+0.015,+,17,49,39.10,-0.24,1.014792
1963 Aug. 4.71,38246.21827,Ka,E,8,56,14.698,+0.059,+,17,18,26.36,-0.41,1.014515
1963 Aug. 5.71,38247.21821,Ga,E,9,0,05.585,+0.063,+,17,2,23.20,-1.89,1.014373
1963 Aug. 6.71,38248.21813,Ka,E,9,3,55.854,+0.051,+,16,46,05.26,-1.70,1.014227
1963 Aug. 15.71,38257.21719,To,E,9,38,02.851,+0.065,+,14,7,,,1.012774
1963 Aug. 16.71,38258.21705,Pe,E,9,41,47.482,-0.057,+,13,48,59.71,-1.18,1.012592
1963 Aug. 18.71,38260.21676,Ka,E,9,49,15.541,+0.029,+,13,10,44.96,-2.17,1.012214
1963 Aug. 22.71,38264.21611,Rh,E,10,4,05.518,+0.049,+,11,51,51.97,+0.33,1.011399
1963 Aug. 25.71,38267.21557,Ka,E,10,15,07.984,-0.024,+,10,50,38.39,-2.44,1.010742
1963 Aug. 26.71,38268.21538,Rh,E,10,18,47.955,-0.029,+,10,29,55.84,-0.48,1.010515
1963 Sep. 27.70,38300.20791,To,W,12,14,10.729,+0.020,-,1,32,,,1.002192
1963 Sep. 30.70,38303.20721,Ga,W,12,25,00.036,+0.057,-,2,42,,,1.001320
1963 Oct. 1.70,38304.20698,KI,W,12,28,36.987,+0.108,-,3,5,,,1.001031
1963 Oct. 2.70,38305.20676,Ga,W,12,32,14.127,+0.080,-,3,28,,,1.000742
1963 Oct. 4.70,38307.20632,Pe,W,12,39,29.364,+0.037,-,4,15,09.69,-1.90,1.000169
1963 Oct. 5.70,38308.20611,Sc,W,0,12,43,,-,4,38,16.98,-1.57,0.999884
1963 Oct. 9.70,38312.20531,To,W,12,57,44.124,-0.018,-,6,10,09.99,-0.96,0.998757
1963 Oct. 10.70,38313.20512,Rh.,W,13,1,24.485,+0.073,-,6,32,57.24,-0.71,0.998477
1963 Oct. 11.70,38314.20494,P.,W,0,13,05,,-,6,55,39.79,-0.84,0.998196
1963 Oct. 15.70,38318.20427,Se,E,13,19,53.442,+0.150,-,8,25,30.37,-0.63,0.997072
1963 Oct. 16.70,38319.20412,KI,E,13,23,36.749,+0.066,-,8,47,41.32,-0.51,0.996790
1963 Oct. 18.70,38321.20383,Pe,E,13,31,05.289,+0.072,-,9,31,40.50,-0.29,0.996226
1963 Oct. 21.70,38324.20346,Rh,E,13,42,22.697,+0.102,-,10,36,37.43,-1.05,0.995379
1963 Oct. 24.70,38327.20315,To,E,13,53,45.879,+0.085,-,11,40,08.28,-0.85,0.994536
1963 Oct. 25.70,38328.20307,Ga,E,13,57,34.955,+0.077,-,12,0,57.94,-1.05,0.994257
1963 Oct. 30.70,38333.20276,Sc,E,14,16,51.135,+0.113,-,13,42,09.90,-0.28,0.992895
1963 Nov. 18.70,38352.20374,Rn,W,15,33,10.163,+0.103,-,19,10,09.53,+0.91,0.988425
1963 Nov. 19.70,38353.20389,Pe,W,15,37,19.673,+0.118,-,19,24,25.03,-0.87,0.988214
1963 Nov. 20.70,38354.20404,Rn,W,15,41,29.971,+0.096,-,19,38,16.18,+0.69,0.988005
1963 Dec. 4.70,38368.20717,KI,W,16,41,12.789,+0.083,-,22,12,30.20,-0.37,0.985512
1963 Dec. 7.70,38371.20804,So,W,16,54,17.388,+0.108,-,22,35,01.20,+0.84,0.985112
1963 Dec. 15.71,38379.21059,Se,E,17,29,30.626,+0.177,-,23,15,,,0.984231
1963 Dec. 22.71,38386.21298,Se,E,18,0,34.141,+0.101,-,23,26,36.37,-0.30,0.983658
1964 Jan. 2.71,38397.21671,Ga,E,0,18,49,,-,22,57,32.02,+0.29,0.983263
1964 Jan. 3.71,38398.21704,Ka,E,18,53,43.961,+0.037,-,22,52,,,0.983265
1964 Jan. 4.71,38399.21735,Se,E,18,58,08.202,+0.077,-,22,46,13.63,+0.40,0.983274
1964 Jan. 7.71,38402.21828,Ka,E,19,11,18.411,+0.063,-,22,25,53.68,-0.25,0.983330
1964 Jan. 18.72,38413.22122,Sc,W,19,58,54.911,+0.098,-,20,38,03.71,+1.41,0.983875
1964 Jan. 28.72,38423.22303,Se,W,20,40,56.957,+0.137,-,18,18,,,0.984822
1964 Jan. 29.72,38424.22316,Ka,W,20,45,04.617,+0.028,-,18,3,08.42,-0.01,0.984948
1964 Jan. 30.72,38425.22328,To,W,20,49,11.625,+0.083,-,17,46,59.11,+0.22,0.985080
1964 Feb. 3.72,38429.22366,To,W,21,5,31.392,+0.136,-,16,39,,,0.985663
1964 Feb. 4.72,38430.22374,Sc,W,21,9,34.320,+0.147,-,16,21,36.26,+0.18,0.985821
1964 Feb. 5.72,38431.22380,To,W,21,13,36.445,+0.140,-,16,3,38.96,+0.14,0.985984
1964 Feb. 17.72,38443.22387,To,E,22,1,01.237,+0.082,-,12,8,,,0.988198
1964 Feb. 20.72,38446.22370,KI,E,22,12,35.661,+0.078,-,11,4,56.06,+0.02,0.988811
1964 Feb. 22.72,38448.22354,Sc,E,22,20,15.189,+0.096,-,10,21,38.53,+1.59,0.989237
1964 Feb. 26.72,38452.22314,Ga,E:,22,35,26.457,+0.027,-,8,53,,,0.990135
1964 Feb. 27.72,38453.22302,,E,22,39,12.798,+0.022,-,8,30,,,0.990371
1964 Mar. 2.72,38457.22249,Rh,E,22,54,12.815,-0.021,-,6,59,56.72,+0.34,0.991354
1964 Mar. 10.72,38465.22118,Ка,E,23,23,51.875,+0.042,-,3,53,43.17,+0.18,0.993460
1964 Mar. 11.72,38466.22099,,E,23,27,32.678,+0.081,-,3,30,08.91,+0.51,0.993730
1964 Mar. 13.72,38468.22062,Ga,E,23,34,53.223,-0.035,-,2,42,53.99,+0.45,0.994273
1964 Mar. 16.72,38471.22004,Rh,E,23,45,52.351,+0.051,-,1,31,49.71,-0.02,0.995089
1964 Mar. 23.71,38478.21860,Rh,W,0,11,23.504,+0.036,+,1,14,03.72,+0.06,0.997009
1964 Mar. 24.71,38479.21838,,W,0,15,01.817,+0.085,+,1,37,41.08,+0.78,0.997288
1964 Mar. 26.71,38481.21796,Ga,W,0,22,18.127,+0.003,+,2,24,45.47,-0.47,0.997852
1964 Mar. 27.71,38482.21775,To,W,0,25,56.325,+0.022,+,2,48,15.52,+1.13,0.998136
1964 Apr. 5.71,38491.21588,Ka,W,0,58,43.592,+0.070,+,6,16,19.55,+0.75,1.000758
1964 Apr. 16.71,38502.21387,KI,E,1,39,11.576,+0.055,+,10,18,29.38,-0.32,1.003893
1964 Apr. 23.71,38509.21284,KI,E,2,5,18.300,-0.025,+,12,42,19.88,-0.09,1.005768
1964 Apr. 26.71,38512.21248,Ка,E,2,16,36.385,+0.020,+,13,40,56.15,+0.22,1.006559
1964 May. 4.71,38520.21177,Pe,E,2,47,07.357,-0.021,+,16,6,56.23,+0.45,1.008623
1964 May. 5.71,38521.21171,To,E,0,50,58.796,+0.026,+,16,24,02.67,+0.42,1.008872
1964 May. 6.71,38522.21166,KI,E,2,54,50.797,+0.057,+,16,40,53.32,+0.79,1.009120
1964 May. 7.71,38523.21161,Rh,E,2,58,43.302,+0.009,+,16,57,27.08,+0.84,1.009364
1964 May. 8.71,38524.21157,Pe,E,,,,-0.054,+,17,13,43.03,0.00,1.009603
1964 May. 11.71,38527.21149,Rh,E,0,14,19.340,-0.021,+,18,0,48.95,-0.21,1.010299
1964 May. 16.71,38532.21150,Sc,W,3,34,02.523,+0.124,+,19,13,13.23,+0.15,1.011369
1964 May. 18.71,38534.21154,Ga,W,3,41,59.457,+0.005,+,19,39,,,1.011768
1964 May. 19.71,38535.21157,Pe,W,3,45,58.831,+0.054,+,19,52,46.55,+0.06,1.011962
1964 May. 20.71,38536.21161,To,W,3,49,58.597,-0.030,+,20,5,,,1.012153
1964 May. 21.71,38537.21166,KI,W,3,53,59.073,+0.076,+,20,17,27.95,+0.87,1.012340
1964 May. 23.71,38539.21176,Sc,,,,,,+,20,40,44.42,+0.35,1.012708
1964 May. 25.71,38541.21189,Pe,W,4,10,05.655,+0.061,+,21,2,35.61,-0.07,1.013066
1964 May. 26.71,38542.21197,Sc,W,4,14,08.595,+0.103,+,21,12,59.64,+0.68,1.013240
1964 May. 27.71,38543.21204,Pe,W,4,18,11.934,+0.068,+,21,23,,,1.013413
1964 May. 30.71,38546.21231,Sc,,4,30,24.864,+0.084,+,21,50,49.83,-0.79,1.013912
1964 Jun. 4.71,38551.21286,To,W,4,50,54.830,+0.032,+,22,29,,,1.014678
1964 Jun. 5.71,38552.21298,Pe,W,4,55,02.029,+0.090,+,22,36,13.14,+0.12,1.014819
1964 Jun. 11.71,38558.21379,To,E,5,19,51.188,+0.042,+,23,7,21.53,-0.61,1.015549
1964 Jun. 15.71,38562.21437,Ga,E,5,36,27.906,-0.123,+,23,20,00.29,-0.55,1.015918
1964 Jun. 16.71,38563.21452,Pe,E,0,40,37.543,+0.035,+,23,22,,,1.015997
1964 Jun. 17.71,38564.21467,Se,E,5,44,47.078,+0.027,+,23,23,52.29,+0.38,1.016072
1964 Jun. 20.71,38567.21512,Sc,E,5,57,15.949,+0.148,+,23,26,32.12,-0.19,1.016271
1964 Jun. 25.71,38572.21586,Rh,E,6,18,02.947,+0.033,+,23,22,43.14,-0.41,1.016526
1964 Jun. 26.71,38573.21601,To,E,6,22,12.006,-0.015,+,23,20,42.54,-1.09,1.016566
1964 Jun. 27.71,38574.21615,So,E,6,26,21.029,+0.047,+,23,18,19.26,+0.10,1.016603
1964 Jun. 30.71,38577.21657,Se,E,6,38,46.727,-0.020,+,23,8,39.31,+0.25,1.016692
1964 Jul. 2.71,38579.21683,To,E,6,47,02.859,+0.042,,,,,-1.04,1.016729
1964 Jul. 7.71,38584.21744,To,W,7,7,38.024,+0.049,+,22,32,,,1.016736
1964 Jul. 9.71,38586.21765,KI,W,7,15,49.643,+0.064,+,22,17,59.09,-0.28,1.016697
1964 Jul. 11.71,38588.21784,Sc,W,7,23,59.635,+0.147,+,22,2,26.75,+0.64,1.016632
1964 Jul. 15.71,38592.21817,KI,W,7,40,13.656,+0.130,+,21,26,48.26,-0.41,1.016432
1964 Jul. 16.71,38593.21823,Ga,W,7,44,15.787,+0.046,+,21,16,58.93,-0.11,1.016370
,38594.21829,Pe,W,7,48,17.490,+0.063,+,21,6,46.87,-0.89,1.016302
1964 Jul. 23.71,38600.21851,KI,W,8,12,15.767,+0.082,+,19,58,,,1.015811
1964 Jul. 29.71,38606.21848,Ga,W,8,35,52.990,+0.133,+,18,37,52.10,-0.63,1.015198
1964 Aug. 5.71,38613.21815,Pe,E,9,2,59.422,-0.037,+,16,50,10.02,-0.40,1.014306
1964 Aug. 6.71,38614.21807,To,E,9,6,49.554,+0.065,+,16,33,38.33,-1.02,1.014159
1964 Aug. 14.71,38622.21722,Pe,E,9,37,08.591,+0.045,+,14,12,19.39,-0.75,1.012787
1964 Aug. 15.71,38623.21709,Rh,E,9,40,53.362,+0.005,+,13,53,35.73,-0.41,1.012596
1964 Aug. 16.71,38624.21695,Sc,E,9,44,37.662,+0.034,+,13,34,39.05,+0.09,1.012400
1964 Aug. 19.71,38627.21648,Ga,E,9,55,47.330,+0.032,+,12,36,31.25,-0.53,1.011796
1964 Aug. 20.71,38628.21632,Sc,E,9,59,29.548,+0.038,+,12,16,44.39,-0.81,1.011590
1964 Aug. 24.71,38632.21560,Rh,E,10,14,13.793,+0.051,+,10,55,45.43,-0.59,1.010742
1964 Aug. 27.71,38635.21502,Ga,E,10,25,12.636,+0.088,+,9,53,11.07,-0.63,1.010085
1964 Aug. 1.71,38640.21396,To,E,10,43,23.741,+0.016,+,8,5,48.55,0.00,1.008946
1964 Sep. 2.71,38641.21374,Ga,E,10,47,01.215,+0.133,+,7,43,,,1.008708
1964 Sep. 3.71,38642.21351,Rh,E,10,50,38.192,+0.008,+,7,21,52.94,-0.63,1.008467
1964 Sep. 4.71,38643.21329,To,E,10,54,15.019,-0.016,+,6,59,43.68,-1.39,1.008222
1964 Sep. 5.71,38644.21306,Se,E,10,57,51.719,+0.070,+,6,37,28.37,-1.33,1.007974
1964 Sep. 7.71,38646.21259,Rh,E,11,5,04.311,+0.074,+,5,52,40.32,+0.75,1.007405
1964 Sep. 16.71,38655.21040,Sc,W,11,37,23.584,+0.027,+,2,26,42.77,-0.60,1.005033
1964 Sep. 17.71,38656.21015,To,W,11,40,58.740,+0.081,+,2,3,30.66,-1.32,1.004754
1964 Sep. 25.70,38664.20819,,W,12,9,41.566,+0.072,,,,,.33,1.002518
1964 Sep. 26.70,38665.20796,Sc,W,12,13,17.581,+0.112,-,1,26,24.19,-0.56,1.002240
1964 Oct. 8.70,38677.20536,Pe,E,12,56,51.486,+0.066,-,6,4,41.30,-0.27,0.998833
1964 Oct. 9.70,38678.20517,To,E,13,0,31.741,+0.098,-,6,27,31.35,-0.96,0.998541
1964 Oct. 10.70,38679.20499,So,E,13,4,12.417,+0.097,-,6,50,,,0.998249
1964 Oct. 12.70,38681.20464,Ga,E,13,11,35.041,-0.026,-,7,35,25.65,+0.15,0.997665
1964 Oct. 13.70,38682.20447,Sc,E,13,15,17.252,+0.064,-,7,57,51.76,+0.31,0.997373
1964 Oct. 14.70,38683.20431,Ga,E,13,19,00.003,+0.175,-,8,20,13.24,-1.65,0.997083
1964 Oct. 21.70,38690.20337,To,E,13,45,14.315,+0.048,-,10,52,48.08,-0.37,0.995092
1964 Oct. 22.70,38691.20327,Rh,E,13,49,01.756,+0.040,-,11,14,00.73,-0.92,0.994819
1964 Oct. 24.70,38693.20308,Sc,E,13,56,38.801,+0.079,-,11,55,53.66,-0.36,0.994279
1964 Oct. 26.70,38695.20293,Ga,E,14,4,18.675,+0.031,-,12,37,04.72,-1.02,0.993750
1964 Oct. 27.70,38696.20287,To,,14,8,09.788,+0.056,-,12,57,,,0.993488
1964 Oct. 30.70,38699.20273,Se,W,14,19,47.735,+0.074,-,13,57,01.83,+0.18,0.992716
1964 Oct. 31.70,38700.20270,Se,W,14,23,41.949,+0.060,-,14,16,30.62,-1.03,0.992461
1964 Nov. 2.70,38702.20268,KI,W,14,31,32.905,+0.129,-,14,54,43.13,+0.13,0.991956
1964 Nov. 4.70,38704.20269,Ga,W,14,39,27.063,+0.112,-,15,31,,,0.991454
1964 Nov. 5.70,38705.20271,To,W,14,43,25.402,+0.124,-,15,50,15.00,-0.99,0.991206
1964 Nov. 7.70,38707.20278,So,W,14,51,24.534,+0.102,-,16,25,57.06,-0.72,0.990712
1964 Nov. 9.70,38709.20289,Pe,W,14,59,27.004,+0.079,-,17,0,32.48,-0.26,0.990226
1964 Nov. 10.70,38710.20296,Sc,W,15,3,29.518,+0.096,-,17,17,25.61,-1.45,0.989986
1964 Nov. 12.70,38712.20312,So,W,15,11,37.023,+0.103,-,17,50,14.23,-0.14,0.989515
1964 Nov. 14.70,38714.20333,Sc,W,15,19,47.889,+0.141,-,18,21,,,0.989056
1964 Nov. 17.70,38717.20371,Ga,W,15,32,10.235,+0.036,-,19,6,45.15,0.00,0.988397
1964 Nov. 18.70,38718.20385,Sc,W,15,36,19.430,+0.091,-,19,21,,,0.988186
1964 Nov. 21.70,38721.20435,Sc,W,15,48,51.799,+0.100,-,20,1,50.90,-0.61,0.987587
1964 Nov. 23.70,38723.20472,Pe,W,15,57,17.435,+0.095,-,20,27,11.74,+0.92,0.987212
1964 Nov. 24.70,38724.20492,Sc,W,16,1,31.471,+0.120,-,20,39,19.60,+0.55,0.987031
1964 Dec. 1.70,38731.20657,Ga,E,16,31,30.512,+0.111,-,21,53,,,0.985881
1964 Dec. 7.70,38737.20828,KI,E,0,16,57,,-,22,40,10.30,+1.50,0.985024
1964 Dec. 14.71,38744.21052,Pe,E,17,28,27.529,+0.094,-,23,14,45.59,+0.35,0.984196
1964 Dec. 15.71,38745.21085,Ga,E,17,32,52.989,+0.056,-,23,17,51.93,-0.06,0.984097
1964 Dec. 16.71,38746.21119,Sc,E,17,37,18.738,+0.068,,,,,+1.40,0.984005
1964 Dec. 19.71,38749.21221,Sc,E,17,50,37.068,+0.143,-,23,25,34.48,+0.54,0.983764
1965 Jan. 11.71,38772.21968,Sc,W,19,32,04.488,+0.113,,,,,-0.51,0.983483
1965 Jan. 14.72,38775.22046,Rh,W,19,45,02.000,+0.119,-,21,15,04.83,-0.19,0.983624
1965 Jan. 19.72,38780.22161,KI,,20,6,24.183,+0.120,-,20,16,16.94,+1.23,0.983985
1965 Jan. 21.72,38782.22201,Rh,W,20,14,51.950,+0.094,-,19,50,05.04,+0.40,0.984174
1965 Jan. 22.72,38783.22219,Ga,W,20,19,04.737,+0.105,-,19,36,24.71,+0.91,0.984277
1965 Jan. 27.72,38788.22300,Ga,W,20,39,57.032,+0.031,-,18,22,46.00,+0.15,0.984865
1965 Jan. 28.72,38789.22313,KI,W,20,44,05.180,+0.066,-,18,6,59.31,+1.48,0.984994
1965 Feb. 4.72,38796.22380,Ga,E,21,12,39.113,+0.001,-,16,7,58.40,-0.01,0.986000
1965 Feb. 6.72,38798.22391,Sc,E,21,20,41.498,+0.096,-,15,31,20.83,+0.60,0.986315
1965 Feb. 15.72,38807.22392,Rh,E,21,56,11.952,+0.017,-,12,34,21.00,+0.22,0.987932
1965 Feb. 16.72,38808.22388,Ga,E,22,0,04.853,+0.011,-,12,13,34.22,+1.33,0.988136
1965 Feb. 17.72,38809.22383,KI,E,22,3,57.103,+0.061,-,11,52,38.01,+0.23,0.988345
1965 Feb. 18.72,38810.22377,Rh,E,22,7,48.612,+0.065,-,11,31,29.68,0.00,0.988558
1965 Feb. 20.72,38812.22363,Sc,E,22,15,29.640,+0.069,-,10,48,38.54,+1.63,0.988999
1965 Feb. 23.72,38815.22337,KI,E,22,26,56.406,+0.030,-,9,43,10.65,+0.31,0.989688
1965 Feb. 27.72,38819.22292,Sc,W,22,42,03.982,+0.059,-,8,13,48.41,+0.68,0.990646
1965 Mar. 11.72,38831.22104,To,W,23,26,39.707,+0.077,-,3,35,47.86,+0.90,0.993672
1965 Mar. 12.72,38832.22086,Ga,W,23,30,20.057,+0.010,-,3,12,14.23,-0.80,0.993934
1965 Mar. 13.72,38833.22067,Sc,W,23,34,00.217,+0.067,-,2,48,35.31,+0.79,0.994200
1965 Mar. 19.71,38839.21947,To,W,23,55,55.678,+0.075,-,0,26,26.98,+1.85,0.995844
1965 Mar. 23.71,38843.21863,KI,W,0,10,29.566,+0.057,+,1,8,13.51,+0.22,0.996989
1965 Mar. 27.71,38847.21779,Sc,W,0,25,02.688,+0.046,+,2,42,27.50,-0.22,0.998152
1965 Mar. 31.71,38851.21695,KI,E,0,39,36.216,+0.012,,,,,-0.05,0.999313
1965 Mar. 1.71,38852.21674,Rh,E,0,43,14.870,+0.072,+,4,39,02.57,+0.67,0.999602
1965 Mar. 5.71,38856.21593,To,E,0,57,50.456,-0.038,+,6,10,51.07,+1.26,1.000739
1965 Apr. 8.71,38859.21534,KI,E,1,8,49.120,+0.048,,,,,+1.03,1.001580
1965 Apr. 10.71,38861.21496,Sc,,1,16,09.207,-0.003,+,8,3,07.81,+0.85,1.002136
1965 Apr. 13.71,38864.21441,Ga,E,0,1,27,,+,9,8,53.65,+0.58,1.002970
1965 Apr. 14.71,38865.21424,To,E,1,30,52.671,-0.059,+,9,30,30.78,+0.28,1.003248
1965 Apr. 16.71,38867.21390,To,E,1,38,16.440,+0.002,+,10,13,16.14,-0.39,1.003805
1965 Apr. 17.71,38868.21373,Sc,E,1,41,58.919,+0.072,+,10,34,25.11,+0.57,1.004085
1965 Apr. 20.71,38871.21327,KI,E,1,53,08.460,-0.062,+,11,36,45.21,+0.26,1.004921
1965 Apr. 21.71,38872.21313,Gv,E,1,56,52.578,-0.033,+,11,57,,,1.005199
1965 Apr. 3.71,38884.21185,Rn,E,2,42,20.304,+0.024,+,15,45,18.93,+0.32,1.008359
1965 Apr. 4.71,38885.21178,To,E,2,46,10.965,-0.071,+,16,2,46.89,+1.40,1.008600
1965 Apr. 11.71,38892.21149,Ga,E,3,13,21.653,+0.032,+,17,57,06.88,-0.22,1.010202
1965 May. 13.71,38894.21146,To,E,3,21,12.518,+0.008,+,18,27,08.27,-0.24,1.010638
1965 May. 14.71,38895.21146,Gv,,3,25,08.800,+0.005,+,18,41,42.05,+0.69,1.010853
1965 May. 15.71,38896.21146,Sc,E,3,29,05.749,+0.091,+,18,55,56.32,+1.06,1.011066
1965 May. 18.71,38899.21151,Ga,E,3,40,59.682,+0.011,+,19,36,42.13,+1.07,1.011694
1965 May. 19.71,38900.21154,So,E,3,44,58.817,+0.010,+,19,49,36.67,-0.10,1.011898
1965 May. 25.71,38906.21186,KI,E,4,9,05.196,+0.034,+,20,59,59.21,+0.57,1.013063
1965 May. 27.71,38908.21201,Rh,E,4,17,11.548,+0.074,+,21,20,35.65,+0.27,1.013419
1965 May. 28.71,38909.21209,To,E,,,,+0.060,+,21,30,20.88,+0.24,1.013591
1965 May. 31.71,38912.21238,Gv,E,4,33,29.752,-0.057,+,21,57,22.55,+0.71,1.014072
1965 Jun. 2.71,38914.21259,Rh,W,4,41,41.631,+0.115,+,22,13,27.52,-0.75,1.014365
1965 Jun. 4.71,38916.21282,Ga,W,4,49,54.707,+0.038,+,22,28,02.33,+0.86,1.014636
1965 Jun. 5.71,38917.21295,Sc,W,4,54,01.840,+0.101,+,22,34,43.73,+1.00,1.014764
1965 Jun. 6.71,38918.21307,Gv,,4,58,09.198,+0.088,,,,,-023,1.014888
1965 Jun. 7.71,38919.21320,KI,W,5,2,16.757,+0.002,+,22,46,53.77,+0.29,1.015008
1965 Jun. 11.71,38923.21374,To,W,5,18,49.861,+0.051,+,23,6,25.32,-0.16,1.015450
1965 Jun. 18.71,38930.21476,To,W,0,5,47,,+,23,24,54.23,-0.22,1.016093
1965 Jun. 20.71,38932.21506,Gv,W,5,56,13.658,+0.126,,,,,0.49,1.016245
1965 Jun. 21.71,38933.21521,KI,W,6,0,23.248,+0.089,,,,,+0.23,1.016314
1965 Jun. 23.71,38935.21551,KI,W,6,8,42.456,+0.107,+,23,25,46.29,+1.15,1.016439
1965 Jun. 25.71,38937.21581,To,W,6,17,01.381,+0.079,+,23,23,11.49,-0.51,1.016544
1965 Jul. 8.71,38950.21752,Gv,E,7,10,44.214,+0.012,+,22,26,56.74,+0.79,1.016649
1965 Jul. 9.71,38951.21762,He,E,7,14,49.752,+0.004,+,22,19,49.11,-0.30,1.016622
1965 Jul. 16.71,38958.21820,Ga,E,7,43,15.950,+0.117,+,21,19,28.34,+0.13,1.016329
1965 Jul. 19.71,38961.21836,Gv,E,7,55,19.629,+0.065,+,20,48,05.93,-0.84,1.016149
1965 Jul. 21.71,38963.21844,Ga,E,8,3,19.450,+0.055,+,20,25,27.36,+0.54,1.016009
1965 Jul. 26.71,38968.21852,Gv,W,8,23,09.475,+0.193,+,19,22,50.31,-0.39,1.015574
1965 Jul. 27.71,38969.21852,Sv,W,8,27,05.553,+0.026,+,19,9,19.74,-0.77,1.015469
1965 Aug. 4.71,38977.21823,KI,W,8,58,13.450,+0.122,+,17,10,19.02,-0.23,1.014433
1965 Aug. 6.71,38979.21809,Ga,W,9,5,54.135,+0.084,+,16,37,41.04,-0.51,1.014127
1965 Aug. 10.71,38983.21772,Gv,W,9,21,08.381,+0.137,+,15,29,16.11,-0.58,1.013476
1965 Aug. 12.71,38985.21750,Gv,W,9,28,41.865,+0.023,+,14,53,33.67,-0.51,1.013133
1965 Aug. 16.71,38989.21697,KI,W,0,43,42.539,+0.098,+,13,39,20.74,-0.42,1.012415
1965 Aug. 17.71,38990.21682,Sv,W,9,47,26.391,+0.100,+,13,20,13.38,-1.12,1.012229
1965 Aug. 18.71,38991.21667,Ga,W,9,51,09.752,+0.102,+,13,0,54.67,-0.52,1.012041
1965 Aug. 29.71,39002.21466,Gv,W,10,31,37.692,+0.057,,,,,-0.22,1.009709
1965 Aug. 30.71,39003.21445,Du,E,10,35,16.044,+0.054,+,8,54,,,1.009471
1965 Sep. 1.71,39005.21402,Ga,E,10,42,31.787,+0.097,+,8,11,01.06,-1.42,1.008985
